Image,Object,Confidence
crossing.jpg,person,0.87
crossing.jpg,person,0.83
crossing.jpg,person,0.8
crossing.jpg,person,0.78
crossing.jpg,person,0.78
crossing.jpg,car,0.75
crossing.jpg,person,0.72
crossing.jpg,car,0.64
crossing.jpg,person,0.61
crossing.jpg,car,0.55
crowd.jpg,person,0.84
crowd.jpg,person,0.79
crowd.jpg,person,0.76
crowd.jpg,person,0.74
crowd.jpg,person,0.73
crowd.jpg,person,0.68
crowd.jpg,person,0.65
crowd.jpg,person,0.61
crowd.jpg,person,0.56
crowd.jpg,person,0.56
crowd.jpg,person,0.55
crowd.jpg,person,0.53
crowd.jpg,person,0.5
indoor.jpg,person,0.79
indoor.jpg,couch,0.79
indoor.jpg,dog,0.78
indoor.jpg,potted plant,0.71
indoor.jpg,person,0.66
indoor.jpg,potted plant,0.55
indoor.jpg,person,0.52
penguins.jpg,car,0.9
street.jpg,bicycle,0.82
street.jpg,chair,0.8
street.jpg,person,0.65
street.jpg,chair,0.6
street.jpg,chair,0.57
street.jpg,person,0.57
street.jpg,person,0.56
street.jpg,chair,0.55
street.jpg,chair,0.55
street.jpg,person,0.55
street.jpg,bicycle,0.54
street.jpg,person,0.52
traffic.jpg,person,0.89
traffic.jpg,person,0.88
traffic.jpg,person,0.86
traffic.jpg,car,0.84
traffic.jpg,car,0.66
traffic.jpg,person,0.65
traffic.jpg,motorcycle,0.6
traffic.jpg,person,0.56
traffic.jpg,person,0.52
worker.jpg,motorcycle,0.86
worker.jpg,person,0.85
worker.jpg,motorcycle,0.8
worker.jpg,motorcycle,0.79
worker.jpg,person,0.76
worker.jpg,person,0.76
worker.jpg,truck,0.74
worker.jpg,motorcycle,0.57
worker.jpg,person,0.55
worker.jpg,person,0.54
